"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"4107","May-12","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4108","Aug-12","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4109","Nov-12","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4110","Feb-13","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4111","May-13","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4112","Aug-13","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4113","Nov-13","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4114","Feb-14","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4115","May-14","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4116","Aug-14","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4117","Nov-14","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4118","Feb-15","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4119","May-15","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4120","Aug-15","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4121","Nov-15","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4122","Feb-16","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4123","May-16","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4124","Aug-16","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4125","Nov-16","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4126","Feb-17","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4127","May-17","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4128","Aug-17","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4129","Nov-17","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4130","Feb-18","Male","Unknown","E00024278","3 months up to 6 months","Children",0
"4131","Aug-03","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4132","Nov-03","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4133","Feb-04","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4134","May-04","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4135","Aug-04","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4136","Nov-04","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4137","Feb-05","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4138","May-05","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4139","Aug-05","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4140","Nov-05","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4141","Feb-06","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4142","May-06","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4143","Aug-06","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4144","Nov-06","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4145","Feb-07","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4146","May-07","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4147","Aug-07","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4148","Nov-07","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4149","Feb-08","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4150","May-08","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4151","Aug-08","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4152","Nov-08","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4153","Feb-09","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4154","May-09","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4155","Aug-09","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4156","Nov-09","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4157","Feb-10","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4158","May-10","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4159","Aug-10","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4160","Nov-10","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4161","Feb-11","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4162","May-11","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4163","Aug-11","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4164","Nov-11","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4165","Feb-12","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4166","May-12","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4167","Aug-12","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4168","Nov-12","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4169","Feb-13","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4170","May-13","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4171","Aug-13","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4172","Nov-13","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4173","Feb-14","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4174","May-14","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4175","Aug-14","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4176","Nov-14","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4177","Feb-15","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4178","May-15","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4179","Aug-15","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4180","Nov-15","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4181","Feb-16","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4182","May-16","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4183","Aug-16","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4184","Nov-16","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4185","Feb-17","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4186","May-17","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4187","Aug-17","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4188","Nov-17","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4189","Feb-18","Female","Unknown","E00024278","3 months up to 6 months","Children",0
"4190","Aug-03","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4191","Nov-03","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4192","Feb-04","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4193","May-04","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4194","Aug-04","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4195","Nov-04","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4196","Feb-05","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4197","May-05","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4198","Aug-05","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4199","Nov-05","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4200","Feb-06","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4201","May-06","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4202","Aug-06","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4203","Nov-06","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4204","Feb-07","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4205","May-07","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4206","Aug-07","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4207","Nov-07","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4208","Feb-08","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4209","May-08","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4210","Aug-08","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4211","Nov-08","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4212","Feb-09","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4213","May-09","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4214","Aug-09","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4215","Nov-09","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4216","Feb-10","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4217","May-10","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4218","Aug-10","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4219","Nov-10","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4220","Feb-11","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4221","May-11","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4222","Aug-11","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4223","Nov-11","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4224","Feb-12","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4225","May-12","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4226","Aug-12","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4227","Nov-12","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4228","Feb-13","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4229","May-13","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4230","Aug-13","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4231","Nov-13","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4232","Feb-14","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4233","May-14","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4234","Aug-14","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4235","Nov-14","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4236","Feb-15","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4237","May-15","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4238","Aug-15","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4239","Nov-15","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4240","Feb-16","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4241","May-16","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4242","Aug-16","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4243","Nov-16","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4244","Feb-17","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4245","May-17","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4246","Aug-17","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4247","Nov-17","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4248","Feb-18","Unknown","Unknown","E00024278","3 months up to 6 months","Children",0
"4249","Aug-03","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4250","Nov-03","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4251","Feb-04","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4252","May-04","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4253","Aug-04","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4254","Nov-04","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4255","Feb-05","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4256","May-05","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4257","Aug-05","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4258","Nov-05","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4259","Feb-06","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4260","May-06","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4261","Aug-06","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4262","Nov-06","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4263","Feb-07","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4264","May-07","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4265","Aug-07","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4266","Nov-07","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4267","Feb-08","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4268","May-08","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4269","Aug-08","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4270","Nov-08","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4271","Feb-09","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4272","May-09","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4273","Aug-09","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4274","Nov-09","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4275","Feb-10","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4276","May-10","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4277","Aug-10","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4278","Nov-10","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4279","Feb-11","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4280","May-11","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4281","Aug-11","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4282","Nov-11","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4283","Feb-12","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4284","May-12","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4285","Aug-12","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4286","Nov-12","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4287","Feb-13","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4288","May-13","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4289","Aug-13","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4290","Nov-13","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4291","Feb-14","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4292","May-14","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4293","Aug-14","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4294","Nov-14","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4295","Feb-15","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4296","May-15","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4297","Aug-15","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4298","Nov-15","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4299","Feb-16","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4300","May-16","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4301","Aug-16","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4302","Nov-16","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4303","Feb-17","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4304","May-17","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4305","Aug-17","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4306","Nov-17","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4307","Feb-18","Male","Under 18","E00024278","6 months up to 1 year","Children",0
"4308","Aug-03","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4309","Nov-03","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4310","Feb-04","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4311","May-04","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4312","Aug-04","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4313","Nov-04","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4314","Feb-05","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4315","May-05","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4316","Aug-05","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4317","Nov-05","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4318","Feb-06","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4319","May-06","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4320","Aug-06","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4321","Nov-06","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4322","Feb-07","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4323","May-07","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4324","Aug-07","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4325","Nov-07","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4326","Feb-08","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4327","May-08","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4328","Aug-08","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4329","Nov-08","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4330","Feb-09","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4331","May-09","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4332","Aug-09","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4333","Nov-09","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4334","Feb-10","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4335","May-10","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4336","Aug-10","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4337","Nov-10","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4338","Feb-11","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4339","May-11","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4340","Aug-11","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4341","Nov-11","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4342","Feb-12","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4343","May-12","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4344","Aug-12","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4345","Nov-12","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4346","Feb-13","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4347","May-13","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4348","Aug-13","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4349","Nov-13","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4350","Feb-14","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4351","May-14","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4352","Aug-14","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4353","Nov-14","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4354","Feb-15","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4355","May-15","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4356","Aug-15","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4357","Nov-15","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4358","Feb-16","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4359","May-16","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4360","Aug-16","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4361","Nov-16","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4362","Feb-17","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4363","May-17","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4364","Aug-17","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4365","Nov-17","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4366","Feb-18","Female","Under 18","E00024278","6 months up to 1 year","Children",0
"4367","Aug-03","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4368","Nov-03","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4369","Feb-04","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4370","May-04","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4371","Aug-04","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4372","Nov-04","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4373","Feb-05","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4374","May-05","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4375","Aug-05","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4376","Nov-05","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4377","Feb-06","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4378","May-06","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4379","Aug-06","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4380","Nov-06","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4381","Feb-07","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4382","May-07","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4383","Aug-07","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4384","Nov-07","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4385","Feb-08","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4386","May-08","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4387","Aug-08","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4388","Nov-08","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4389","Feb-09","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4390","May-09","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4391","Aug-09","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4392","Nov-09","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4393","Feb-10","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4394","May-10","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4395","Aug-10","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4396","Nov-10","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4397","Feb-11","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4398","May-11","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4399","Aug-11","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4400","Nov-11","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4401","Feb-12","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4402","May-12","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4403","Aug-12","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4404","Nov-12","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4405","Feb-13","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4406","May-13","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4407","Aug-13","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4408","Nov-13","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4409","Feb-14","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4410","May-14","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4411","Aug-14","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4412","Nov-14","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4413","Feb-15","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4414","May-15","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4415","Aug-15","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4416","Nov-15","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4417","Feb-16","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4418","May-16","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4419","Aug-16","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4420","Nov-16","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4421","Feb-17","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4422","May-17","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4423","Aug-17","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4424","Nov-17","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4425","Feb-18","Unknown","Under 18","E00024278","6 months up to 1 year","Children",0
"4426","Aug-03","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4427","Nov-03","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4428","Feb-04","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4429","May-04","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4430","Aug-04","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4431","Nov-04","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4432","Feb-05","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4433","May-05","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4434","Aug-05","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4435","Nov-05","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4436","Feb-06","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4437","May-06","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4438","Aug-06","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4439","Nov-06","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4440","Feb-07","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4441","May-07","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4442","Aug-07","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4443","Nov-07","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4444","Feb-08","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4445","May-08","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4446","Aug-08","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4447","Nov-08","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4448","Feb-09","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4449","May-09","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4450","Aug-09","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4451","Nov-09","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4452","Feb-10","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4453","May-10","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4454","Aug-10","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4455","Nov-10","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4456","Feb-11","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4457","May-11","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4458","Aug-11","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4459","Nov-11","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4460","Feb-12","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4461","May-12","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4462","Aug-12","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4463","Nov-12","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4464","Feb-13","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4465","May-13","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4466","Aug-13","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4467","Nov-13","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4468","Feb-14","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4469","May-14","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4470","Aug-14","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4471","Nov-14","Male","18-24","E00024278","6 months up to 1 year","Children",0
"4472","Feb-15","Male","18-24","E00024278","6 months up to 1 year","Children",0
